,_runtime,_step,_timestamp,_wandb,lr_group_0,train_loss,val_accuracy,val_loss,lr,betas,epochs,base_lr,batch_size,wandb_name,fix_embed_lr,lr_scheduler,weight_decay,collect_norms,wandb_project,fix_weight_decay,max_steps_per_epoch,lr_scheduler_warmup_frac,name,best_val_loss,best_train_loss,muP,dim
0,170.235497201,2930,1731389567.7013094,{'runtime': 170},3.0517578125e-05,5.957855224609375,0.1885593980550766,6.25501012802124,3.0517578125e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_std_lr_3.0517578125e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_std_lr_3.0517578125e-05,6.25501012802124,5.833048343658447,std no scheduler,256
1,285.768826237,2930,1731389890.6990018,{'runtime': 285},3.0517578125e-05,5.754924297332764,0.2036501318216324,5.957951545715332,3.0517578125e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_std_lr_3.0517578125e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_std_lr_3.0517578125e-05,5.957951545715332,5.333933353424072,std no scheduler,512
2,193.40143922,2930,1731390002.43128,{'runtime': 193},0.0001220703125,5.101914405822754,0.20820368826389313,5.726996421813965,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.0001220703125,5.726996421813965,4.8987298011779785,muP no scheduler,256
3,581.753903345,2930,1731390496.2756655,{'runtime': 581},3.0517578125e-05,4.978245258331299,0.2096418738365173,5.777398586273193,3.0517578125e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_std_lr_3.0517578125e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_std_lr_3.0517578125e-05,5.777398586273193,4.73158597946167,std no scheduler,1024
4,303.369064877,2930,1731390364.0156808,{'runtime': 303},6.103515625e-05,5.439434051513672,0.20743396878242493,5.832702159881592,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.0001220703125,5.832702159881592,5.116530418395996,muP no scheduler,512
5,169.324127312,2930,1731390376.8012354,{'runtime': 169},0.0,5.795694828033447,0.19731405377388,6.014647006988525,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,6.014647006988525,5.384474277496338,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,256
6,169.011400487,2930,1731390551.0387836,{'runtime': 169},0.0,5.6975603103637695,0.19534516334533691,6.023674011230469,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,6.023674011230469,5.327671527862549,muP+fixRMS+fixEmbedLR+fixUnembed,256
7,595.280421165,2930,1731390988.4409578,{'runtime': 595},3.0517578125e-05,5.822932720184326,0.2055785059928894,5.985701560974121,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.0001220703125,5.985701560974121,5.37354850769043,muP no scheduler,1024
8,172.295078361,2930,1731390578.0659587,{'runtime': 172},0.0,5.745664596557617,0.19679144024848935,5.979791164398193,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.0001220703125,5.979791164398193,5.314045429229736,muP,256
9,287.638403185,2930,1731390701.6346483,{'runtime': 287},0.0,5.852202892303467,0.19733430445194244,5.991150379180908,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,5.991150379180908,5.261908054351807,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,512
10,1399.064406235,2930,1731391921.229359,{'runtime': 1399},3.0517578125e-05,4.093698501586914,0.19938421249389648,5.878026962280273,3.0517578125e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_std_lr_3.0517578125e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_std_lr_3.0517578125e-05,5.826022624969482,3.7815632820129395,std no scheduler,2048
11,285.43938698,2930,1731390873.056674,{'runtime': 285},0.0,5.407724857330322,0.19743964076042175,5.989350318908691,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,5.989350318908691,5.242823600769043,muP+fixRMS+fixEmbedLR+fixUnembed,512
12,287.456189009,2930,1731390901.9116747,{'runtime': 287},0.0,5.684416770935059,0.19605007767677307,6.131015300750732,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.0001220703125,6.131015300750732,5.5418782234191895,muP,512
13,167.440835999,2930,1731390836.9175413,{'runtime': 167},0.0,5.869964122772217,0.19657672941684723,6.020079612731934,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS_lr_0.0001220703125,6.020079612731934,5.3547821044921875,muP+fixRMS,256
14,166.928971732,2930,1731390836.7739785,{'runtime': 166},0.0,5.61850118637085,0.195385679602623,6.018635272979736,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,6.018635272979736,5.365330219268799,muP+fixRMS+fixEmbedLR,256
15,591.424698128,2930,1731391316.3784635,{'runtime': 591},0.0,5.6253814697265625,0.19933155179023743,5.962642192840576,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,5.962642192840576,5.20089054107666,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,1024
16,281.582019493,2930,1731391153.465262,{'runtime': 281},0.0,5.6946821212768555,0.196199968457222,6.084391117095947,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,6.084391117095947,5.493285655975342,muP+fixRMS+fixEmbedLR,512
17,283.733138352,2930,1731391156.130379,{'runtime': 283},0.0,5.5747833251953125,0.19502106308937073,6.190281391143799,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS_lr_0.0001220703125,6.190281391143799,5.5747833251953125,muP+fixRMS,512
18,587.224302541,2930,1731391482.5701773,{'runtime': 587},0.0,5.365853309631348,0.1980675756931305,5.967568874359131,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,5.967568874359131,5.093332767486572,muP+fixRMS+fixEmbedLR+fixUnembed,1024
19,584.593744391,2930,1731391509.0941992,{'runtime': 584},0.0,6.149230003356934,0.1917598396539688,6.340089321136475,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.0001220703125,6.340089321136475,5.80980920791626,muP,1024
20,1409.486426633,2930,1731392431.2384586,{'runtime': 1409},1.52587890625e-05,5.89411735534668,0.2010735720396042,6.19630765914917,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.0001220703125,6.19630765914917,5.617102146148682,muP no scheduler,2048
21,575.11863389,2930,1731391751.7450895,{'runtime': 575},0.0,6.001208782196045,0.19402852654457092,6.172050952911377,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,6.172050952911377,5.629660129547119,muP+fixRMS+fixEmbedLR,1024
22,580.599476702,2930,1731391760.927463,{'runtime': 580},0.0,6.378859996795654,0.19143979251384735,6.433410167694092,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS_lr_0.0001220703125,6.433410167694092,5.966434478759766,muP+fixRMS,1024
23,1423.145067581,2930,1731392765.6093886,{'runtime': 1423},0.0,5.643707752227783,0.1983592659235001,5.943562030792236,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.0001220703125,5.943562030792236,5.050873279571533,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,2048
24,1416.736718628,2930,1731392924.9761095,{'runtime': 1416},0.0,5.4959716796875,0.19893048703670504,5.944210529327393,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.0001220703125,5.944210529327393,5.048363208770752,muP+fixRMS+fixEmbedLR+fixUnembed,2048
25,1401.177399042,2930,1731392935.4727304,{'runtime': 1401},0.0,6.539951801300049,0.1908402144908905,6.584092140197754,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.0001220703125,6.584092140197754,6.17441987991333,muP,2048
26,1382.558226357,2930,1731393160.3404143,{'runtime': 1382},0.0,5.851077556610107,0.1930319219827652,6.276899814605713,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.0001220703125,6.276899814605713,5.776478290557861,muP+fixRMS+fixEmbedLR,2048
27,1396.389704261,2930,1731393182.076988,{'runtime': 1396},0.0,6.744989395141602,0.1879355013370514,6.829310417175293,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS_lr_0.0001220703125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS_lr_0.0001220703125,6.829310417175293,6.491976261138916,muP+fixRMS,2048
28,170.432632884,2930,1731392114.111264,{'runtime': 170},6.103515625e-05,5.568788528442383,0.2052949219942093,5.907423496246338,6.103515625e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_std_lr_6.103515625e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_std_lr_6.103515625e-05,5.907423496246338,5.311181545257568,std no scheduler,256
29,286.032370532,2930,1731392422.156842,{'runtime': 286},6.103515625e-05,5.3293986320495605,0.21470993757247925,5.6779069900512695,6.103515625e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_std_lr_6.103515625e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_std_lr_6.103515625e-05,5.6779069900512695,4.756441593170166,std no scheduler,512
30,582.040787128,2930,1731393028.747717,{'runtime': 582},6.103515625e-05,4.418938159942627,0.21225085854530337,5.6232709884643555,6.103515625e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_std_lr_6.103515625e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_std_lr_6.103515625e-05,5.619831562042236,3.986387014389038,std no scheduler,1024
31,182.659385095,2930,1731392644.506317,{'runtime': 182},0.000244140625,4.807924747467041,0.2191460132598877,5.526425838470459,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.000244140625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.000244140625,5.526425838470459,4.33162784576416,muP no scheduler,256
32,296.439509909,2930,1731392971.2809646,{'runtime': 296},0.0001220703125,5.237839221954346,0.21546345949172976,5.600522994995117,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.000244140625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.000244140625,5.600522994995117,4.575346946716309,muP no scheduler,512
33,169.373620782,2930,1731392957.872433,{'runtime': 169},0.0,4.907471656799316,0.20956489443778992,5.753929615020752,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,5.753929615020752,4.850091934204102,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,256
34,167.665568412,2930,1731393114.8578525,{'runtime': 167},0.0,5.262155055999756,0.20819559693336487,5.762420654296875,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,5.762420654296875,4.888876914978027,muP+fixRMS+fixEmbedLR+fixUnembed,256
35,170.259339629,2930,1731393127.8260765,{'runtime': 170},0.0,5.082452297210693,0.2114973217248917,5.70562219619751,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.000244140625,5.70562219619751,4.6527419090271,muP,256
36,288.192129031,2930,1731393268.600621,{'runtime': 288},0.0,4.849259376525879,0.2120361328125,5.718922138214111,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,5.718922138214111,4.747633457183838,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,512
37,589.972861775,2930,1731393588.0472546,{'runtime': 589},6.103515625e-05,5.202420234680176,0.21464106440544128,5.704015254974365,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.000244140625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.000244140625,5.704015254974365,4.8136091232299805,muP no scheduler,1024
38,1397.860985988,2930,1731394451.3817165,{'runtime': 1397},6.103515625e-05,3.651479721069336,0.1905444860458374,5.99137020111084,6.103515625e-05,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_std_lr_6.103515625e-05,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_std_lr_6.103515625e-05,5.702737331390381,2.791368007659912,std no scheduler,2048
39,285.874305974,2930,1731393423.8225482,{'runtime': 285},0.0,4.841536521911621,0.21256279945373535,5.721770286560059,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,5.721770286560059,4.761641979217529,muP+fixRMS+fixEmbedLR+fixUnembed,512
40,287.1124,2930,1731393438.84721,{'runtime': 287},0.0,5.288527011871338,0.20986469089984897,5.814054489135742,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.000244140625,5.814054489135742,4.998618125915527,muP,512
41,167.524973203,2930,1731393350.4306688,{'runtime': 167},0.0,5.292907238006592,0.20941095054149628,5.7597832679748535,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR_lr_0.000244140625,5.7597832679748535,4.873781681060791,muP+fixRMS+fixEmbedLR,256
42,166.756528639,2930,1731393370.6919017,{'runtime': 166},0.0,5.2432074546813965,0.209224596619606,5.754663467407227,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP+fixRMS_lr_0.000244140625,5.754663467407227,4.85057258605957,muP+fixRMS,256
43,591.200925584,2930,1731393882.7446666,{'runtime': 591},0.0,4.707680702209473,0.2136647254228592,5.695894718170166,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,5.695894718170166,4.624761581420898,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,1024
44,281.704888058,2930,1731393654.9210892,{'runtime': 281},0.0,5.3298726081848145,0.2087019979953766,5.820402145385742,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS+fixEmbedLR_lr_0.000244140625,5.820402145385742,4.976587772369385,muP+fixRMS+fixEmbedLR,512
45,283.368287751,2930,1731393675.9541533,{'runtime': 283},0.0,5.370218753814697,0.2061416357755661,5.9163994789123535,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP+fixRMS_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP+fixRMS_lr_0.000244140625,5.9163994789123535,5.187559604644775,muP+fixRMS,512
46,586.953616368,2930,1731394034.374391,{'runtime': 586},0.0,4.692044734954834,0.21371738612651825,5.694624900817871,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,5.694624900817871,4.606611728668213,muP+fixRMS+fixEmbedLR+fixUnembed,1024
47,584.401019665,2930,1731394047.586934,{'runtime': 584},0.0,5.27837610244751,0.20672094821929932,5.980478763580322,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP_lr_0.000244140625,5.980478763580322,5.195400714874268,muP,1024
48,1404.670042114,2930,1731395024.5105886,{'runtime': 1404},3.0517578125e-05,5.558316707611084,0.20871414244174957,5.87002420425415,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.000244140625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.000244140625,5.87002420425415,4.980915069580078,muP no scheduler,2048
49,575.215173989,2930,1731394253.990898,{'runtime': 575},0.0,5.479910850524902,0.209402859210968,5.873154640197754,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS+fixEmbedLR_lr_0.000244140625,5.873154640197754,5.090129375457764,muP+fixRMS+fixEmbedLR,1024
50,580.156340676,2930,1731394279.7045698,{'runtime': 580},0.0,5.588755130767822,0.20446443557739255,6.103271007537842,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_muP+fixRMS_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_muP+fixRMS_lr_0.000244140625,6.103271007537842,5.524386405944824,muP+fixRMS,1024
51,1421.426224642,2930,1731395328.8676789,{'runtime': 1421},0.0,4.480164051055908,0.2134378552436829,5.684125900268555,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.000244140625,5.684125900268555,4.41555643081665,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,2048
52,1415.211951679,2930,1731395475.4672832,{'runtime': 1415},0.0,5.0189971923828125,0.21455194056034088,5.6779351234436035,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.000244140625,5.6778740882873535,4.441612243652344,muP+fixRMS+fixEmbedLR+fixUnembed,2048
53,1399.969652891,2930,1731395472.7868593,{'runtime': 1399},0.0,5.711688995361328,0.20367445051670072,6.181014060974121,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.000244140625,6.181014060974121,5.548637866973877,muP,2048
54,1380.663313953,2930,1731395661.8101747,{'runtime': 1380},0.0,5.55494499206543,0.20758385956287384,5.9720845222473145,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.000244140625,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.000244140625,5.9720845222473145,5.2376508712768555,muP+fixRMS+fixEmbedLR,2048
55,1396.240737025,2930,1731395700.5842154,{'runtime': 1396},0.0,6.156651020050049,0.2015354037284851,6.360968112945557,0.000244140625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS_lr_0.000244140625,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS_lr_0.000244140625,6.360968112945557,5.769471168518066,muP+fixRMS,2048
56,170.164611838,2930,1731394643.8467553,{'runtime': 170},0.0001220703125,4.812976360321045,0.21577134728431704,5.625701427459717,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_std_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_std_lr_0.0001220703125,5.625701427459717,4.760390758514404,std no scheduler,256
57,286.382677512,2930,1731394954.4639635,{'runtime': 286},0.0001220703125,4.3643388748168945,0.22360637784004211,5.468322277069092,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_std_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_std_lr_0.0001220703125,5.468322277069092,4.094439506530762,std no scheduler,512
58,583.311136111,2930,1731395561.873187,{'runtime': 583},0.0001220703125,3.383700132369995,0.21160265803337097,5.669195652008057,0.0001220703125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_std_lr_0.0001220703125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_std_lr_0.0001220703125,5.514497756958008,3.10369873046875,std no scheduler,1024
59,185.619969466,2930,1731395240.553234,{'runtime': 185},0.00048828125,4.392080783843994,0.2255752682685852,5.475001335144043,0.00048828125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.00048828125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.00048828125,5.4480977058410645,3.8418126106262207,muP no scheduler,256
60,296.018947282,2930,1731395565.146354,{'runtime': 296},0.000244140625,3.982377767562866,0.22617079317569733,5.437405586242676,0.00048828125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.00048828125,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.00048828125,5.437405586242676,3.982377767562866,muP no scheduler,512
61,169.007482712,2930,1731395519.8923154,{'runtime': 169},0.0,4.773677349090576,0.2241816520690918,5.513734817504883,0.00048828125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00048828125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_256_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.00048828125,5.513734817504883,4.295215129852295,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,256
